Y ,X1 ,X2 ,X3 
0,-62.8,-89.5,1.7
0,3.3,-3.5,1.1
0,-120.8,-103.2,2.5
0,-18.1,-28.8,1.1
0,-3.8,-50.6,0.9
0,-61.2,-56.2,1.7
0,-20.3,-17.4,1
0,-194.5,-25.8,0.5
0,20.8,-4.3,1
0,-106.1,-22.9,1.5
0,-39.4,-35.7,1.2
0,-164.1,-17.7,1.3
0,-308.9,-65.8,0.8
0,7.2,-22.6,2
0,-118.3,-34.2,1.5
0,-185.9,-280,6.7
0,-34.6,-19.4,3.4
0,-27.9,6.3,1.3
0,-48.2,6.8,1.6
0,-49.2,-17.2,0.3
0,-19.2,-36.7,0.8
0,-18.1,-6.5,0.9
0,-98,-20.8,1.7
0,-129,-14.2,1.3
0,-4,-15.8,2.1
0,-8.7,-36.3,2.8
0,-59.2,-12.8,2.1
0,-13.1,-17.6,0.9
0,-38,1.6,1.2
0,-57.9,0.7,0.8
0,-8.8,-9.1,0.9
0,-64.7,-4,0.1
0,-11.4,4.8,0.9
1,43,16.4,1.3
1,47,16,1.9
1,-3.3,4,2.7
1,35,20.8,1.9
1,46.7,12.6,0.9
1,20.8,12.5,2.4
1,33,23.6,1.5
1,26.1,10.4,2.1
1,68.6,13.8,1.6
1,37.3,33.4,3.5
1,59,23.1,5.5
1,49.6,23.8,1.9
1,12.5,7,1.8
1,37.3,34.1,1.5
1,35.3,4.2,0.9
1,49.5,25.1,2.6
1,18.1,13.5,4
1,31.4,15.7,1.9
1,21.5,-14.4,1
1,8.5,5.8,1.5
1,40.6,5.8,1.8
1,34.6,26.4,1.8
1,19.9,26.7,2.3
1,17.4,12.6,1.3
1,54.7,14.6,1.7
1,53.5,20.6,1.1
1,35.9,26.4,2
1,39.4,30.5,1.9
1,53.1,7.1,1.9
1,39.8,13.8,1.2
1,59.5,7,2
1,16.3,20.4,1
1,21.7,-7.8,1.6
