"X1" "X2" "X3" "X4" "X5" "X6" "Y"
"1" "30.83" 0 1.25 1 "00202" 0 "+"
"2" "58.67" 4.46 3.04 6 "00043" 560 "+"
"3" "24.50" 0.5 1.5 0 "00280" 824 "+"
"4" "27.83" 1.54 3.75 5 "00100" 3 "+"
"5" "20.17" 5.625 1.71 0 "00120" 0 "+"
"6" "32.08" 4 2.5 0 "00360" 0 "+"
"7" "33.17" 1.04 6.5 0 "00164" 31285 "+"
"8" "22.92" 11.585 0.04 0 "00080" 1349 "+"
"9" "54.42" 0.5 3.96 0 "00180" 314 "+"
"10" "42.50" 4.915 3.165 0 "00052" 1442 "+"
"11" "22.08" 0.83 2.165 0 "00128" 0 "+"
"12" "29.92" 1.835 4.335 0 "00260" 200 "+"
"13" "38.25" 6 1 0 "00000" 0 "+"
"14" "48.08" 6.04 0.04 0 "00000" 2690 "+"
"15" "45.83" 10.5 5 7 "00000" 0 "+"
"16" "36.67" 4.415 0.25 10 "00320" 0 "+"
"17" "28.25" 0.875 0.96 3 "00396" 0 "+"
"18" "23.25" 5.875 3.17 10 "00120" 245 "+"
"19" "21.83" 0.25 0.665 0 "00000" 0 "+"
"20" "19.17" 8.585 0.75 7 "00096" 0 "+"
"21" "25.00" 11.25 2.5 17 "00200" 1208 "+"
"22" "23.25" 1 0.835 0 "00300" 0 "+"
"23" "47.75" 8 7.875 6 "00000" 1260 "+"
"24" "27.42" 14.5 3.085 1 "00120" 11 "+"
"25" "41.17" 6.5 0.5 3 "00145" 0 "+"
"26" "15.83" 0.585 1.5 2 "00100" 0 "+"
"27" "47.00" 13 5.165 9 "00000" 0 "+"
"28" "56.58" 18.5 15 17 "00000" 0 "+"
"29" "57.42" 8.5 7 3 "00000" 0 "+"
"30" "42.08" 1.04 5 6 "00500" 10000 "+"
"31" "29.25" 14.79 5.04 5 "00168" 0 "+"
"32" "42.00" 9.79 7.96 8 "00000" 0 "+"
"33" "49.50" 7.585 7.585 15 "00000" 5000 "+"
"34" "36.75" 5.125 5 0 "00000" 4000 "+"
"35" "22.58" 10.75 0.415 5 "00000" 560 "+"
"36" "27.83" 1.5 2 11 "00434" 35 "+"
"37" "27.25" 1.585 1.835 12 "00583" 713 "+"
"38" "23.00" 11.75 0.5 2 "00300" 551 "+"
"39" "27.75" 0.585 0.25 2 "00260" 500 "+"
"40" "54.58" 9.415 14.415 11 "00030" 300 "+"
"41" "34.17" 9.17 4.5 12 "00000" 221 "+"
"42" "28.92" 15 5.335 11 "00000" 2283 "+"
"43" "29.67" 1.415 0.75 1 "00240" 100 "+"
"44" "39.58" 13.915 8.625 6 "00070" 0 "+"
"45" "56.42" 28 28.5 40 "00000" 15 "+"
"46" "54.33" 6.75 2.625 11 "00000" 284 "+"
"47" "41.00" 2.04 0.125 23 "00455" 1236 "+"
"48" "31.92" 4.46 6.04 3 "00311" 300 "+"
"49" "41.50" 1.54 3.5 0 "00216" 0 "+"
"50" "23.92" 0.665 0.165 0 "00100" 0 "+"
"51" "25.75" 0.5 0.875 0 "00491" 0 "+"
"52" "26.00" 1 1.75 0 "00280" 0 "+"
"53" "37.42" 2.04 0.04 0 "00400" 5800 "+"
"54" "34.92" 2.5 0 0 "00239" 200 "+"
"55" "34.25" 3 7.415 0 "00000" 0 "+"
"56" "23.33" 11.625 0.835 0 "00160" 300 "+"
"57" "23.17" 0 0.085 0 "00000" 0 "+"
"58" "44.33" 0.5 5 0 "00320" 0 "+"
"59" "35.17" 4.5 5.75 0 "00711" 0 "+"
"60" "43.25" 3 6 11 "00080" 0 "+"
"61" "56.75" 12.25 1.25 4 "00200" 0 "+"
"62" "31.67" 16.165 3 9 "00250" 730 "+"
"63" "23.42" 0.79 1.5 2 "00080" 400 "+"
"64" "20.42" 0.835 1.585 1 "00000" 0 "+"
"65" "26.67" 4.25 4.29 1 "00120" 0 "+"
"66" "34.17" 1.54 1.54 1 "00520" 50000 "+"
"67" "36.00" 1 2 11 "00000" 456 "+"
"68" "25.50" 0.375 0.25 3 "00260" 15108 "+"
"69" "19.42" 6.5 1.46 7 "00080" 2954 "+"
"70" "35.17" 25.125 1.625 1 "00515" 500 "+"
"71" "32.33" 7.5 1.585 0 "00420" 0 "-"
"73" "38.58" 5 13.5 0 "00980" 0 "-"
"74" "44.25" 0.5 10.75 0 "00400" 0 "-"
"75" "44.83" 7 1.625 0 "00160" 2 "-"
